,category,w_ng,w_sk,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std
0,earn,1.0,0.0,0.9,0.0,0.9,0.0,0.9,0.0
1,earn,0.5,0.5,0.925,0.0,0.925,0.0,0.925,0.0
2,earn,0.8,0.2,0.75,0.0,0.75,0.0,0.75,0.0
3,earn,0.9,0.1,0.925,0.0,0.925,0.0,0.925,0.0
0,acq,1.0,0.0,0.8,0.0,0.8,0.0,0.8,0.0
1,acq,0.5,0.5,1.0,0.0,1.0,0.0,1.0,0.0
2,acq,0.8,0.2,0.36,0.0,0.36,0.0,0.36,0.0
3,acq,0.9,0.1,0.96,0.0,0.96,0.0,0.96,0.0
0,crude,1.0,0.0,0.667,0.0,0.667,0.0,0.667,0.0
1,crude,0.5,0.5,0.533,0.0,0.533,0.0,0.533,0.0
2,crude,0.8,0.2,0.867,0.0,0.867,0.0,0.867,0.0
3,crude,0.9,0.1,0.867,0.0,0.867,0.0,0.867,0.0
0,corn,1.0,0.0,0.1,0.0,0.1,0.0,0.1,0.0
1,corn,0.5,0.5,0.2,0.0,0.2,0.0,0.2,0.0
2,corn,0.8,0.2,0.2,0.0,0.2,0.0,0.2,0.0
3,corn,0.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0
