,category,k_1,k_2,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std
0,earn,3,4,0.85,0.035,0.85,0.035,0.85,0.035
0,earn,4,5,0.917,0.051,0.917,0.051,0.917,0.051
0,earn,5,6,0.883,0.012,0.883,0.012,0.883,0.012
0,acq,3,4,0.973,0.038,0.973,0.038,0.973,0.038
0,acq,4,5,0.947,0.075,0.947,0.075,0.947,0.075
0,acq,5,6,0.947,0.05,0.947,0.05,0.947,0.05
0,crude,3,4,0.778,0.227,0.778,0.227,0.778,0.227
0,crude,4,5,0.622,0.22,0.622,0.22,0.622,0.22
0,crude,5,6,0.756,0.251,0.756,0.251,0.756,0.251
0,corn,3,4,0.3,0.216,0.3,0.216,0.3,0.216
0,corn,4,5,0.667,0.249,0.667,0.249,0.667,0.249
0,corn,5,6,0.267,0.205,0.267,0.205,0.267,0.205
