,category,ime ljuske,k,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std
0,earn,NGK,3,0.8075,0.0613,0.8075,0.0613,0.8075,0.0613
0,earn,NGK,4,0.8575,0.0603,0.8575,0.0603,0.8575,0.0603
0,earn,NGK,5,0.87,0.082,0.87,0.082,0.87,0.082
0,earn,NGK,6,0.8225,0.1267,0.8225,0.1267,0.8225,0.1267
0,earn,NGK,7,0.8675,0.0942,0.8675,0.0942,0.8675,0.0942
0,earn,NGK,8,0.8225,0.1143,0.8225,0.1143,0.8225,0.1143
0,earn,NGK,9,0.8875,0.093,0.8875,0.093,0.8875,0.093
0,earn,NGK,10,0.85,0.1294,0.85,0.1294,0.85,0.1294
0,earn,SSK,3,0.7975,0.1027,0.7975,0.1027,0.7975,0.1027
0,earn,SSK,4,0.86,0.055,0.86,0.055,0.86,0.055
0,earn,SSK,5,0.8575,0.0603,0.8575,0.0603,0.8575,0.0603
0,earn,SSK,6,0.86,0.0867,0.86,0.0867,0.86,0.0867
0,earn,SSK,7,0.845,0.0999,0.845,0.0999,0.845,0.0999
0,earn,SSK,10,0.9625,0.0584,0.9625,0.0584,0.9625,0.0584
0,earn,WK,0,0.81,0.0527,0.81,0.0527,0.81,0.0527
0,acq,NGK,3,0.876,0.1065,0.876,0.1065,0.876,0.1065
0,acq,NGK,4,0.9,0.0863,0.9,0.0863,0.9,0.0863
0,acq,NGK,5,0.908,0.163,0.908,0.163,0.908,0.163
0,acq,NGK,6,0.924,0.0902,0.924,0.0902,0.924,0.0902
0,acq,NGK,7,0.764,0.2757,0.764,0.2757,0.764,0.2757
0,acq,NGK,8,0.824,0.1755,0.824,0.1755,0.824,0.1755
0,acq,NGK,9,0.664,0.3649,0.664,0.3649,0.664,0.3649
0,acq,NGK,10,0.808,0.2827,0.808,0.2827,0.808,0.2827
0,acq,SSK,3,0.884,0.2482,0.884,0.2482,0.884,0.2482
0,acq,SSK,5,0.888,0.2585,0.888,0.2585,0.888,0.2585
0,acq,SSK,7,0.92,0.144,0.92,0.144,0.92,0.144
0,acq,SSK,10,0.28,0.3478,0.28,0.3478,0.28,0.3478
0,acq,WK,0,0.948,0.0475,0.948,0.0475,0.948,0.0475
0,crude,NGK,3,0.5333,0.2732,0.5333,0.2732,0.5333,0.2732
0,crude,NGK,4,0.6199,0.3253,0.6199,0.3253,0.6199,0.3253
0,crude,NGK,5,0.4065,0.309,0.4065,0.309,0.4065,0.309
0,crude,NGK,6,0.6668,0.244,0.6668,0.244,0.6668,0.244
0,crude,NGK,7,0.4468,0.2193,0.4468,0.2193,0.4468,0.2193
0,crude,NGK,8,0.2468,0.2565,0.2468,0.2565,0.2468,0.2565
0,crude,NGK,9,0.3866,0.2472,0.3866,0.2472,0.3866,0.2472
0,crude,NGK,10,0.2801,0.2491,0.2801,0.2491,0.2801,0.2491
0,crude,SSK,3,0.4533,0.4329,0.4533,0.4329,0.4533,0.4329
0,crude,SSK,5,0.68,0.2187,0.68,0.2187,0.68,0.2187
0,crude,SSK,7,0.36,0.2939,0.36,0.2939,0.36,0.2939
0,crude,SSK,10,0.0467,0.06,0.0467,0.06,0.0467,0.06
0,crude,WK,0,0.5667,0.272,0.5667,0.272,0.5667,0.272
0,corn,NGK,3,0.23,0.21,0.23,0.21,0.23,0.21
0,corn,NGK,4,0.35,0.2419,0.35,0.2419,0.35,0.2419
0,corn,NGK,5,0.23,0.2571,0.23,0.2571,0.23,0.2571
0,corn,NGK,6,0.11,0.1136,0.11,0.1136,0.11,0.1136
0,corn,NGK,7,0.14,0.2289,0.14,0.2289,0.14,0.2289
0,corn,NGK,8,0.1,0.1265,0.1,0.1265,0.1,0.1265
0,corn,NGK,9,0.05,0.0922,0.05,0.0922,0.05,0.0922
0,corn,NGK,10,0.05,0.0922,0.05,0.0922,0.05,0.0922
0,corn,SSK,3,0.11,0.1221,0.11,0.1221,0.11,0.1221
0,corn,SSK,5,0.17,0.2002,0.17,0.2002,0.17,0.2002
0,corn,SSK,7,0.18,0.2676,0.18,0.2676,0.18,0.2676
0,corn,SSK,10,0.04,0.049,0.04,0.049,0.04,0.049
0,corn,WK,0,0.42,0.2993,0.42,0.2993,0.42,0.2993
