,category,ime ljuske,lambda,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std
0,earn,NGK,0,0.9,0.0716,0.9,0.0716,0.9,0.0716
0,earn,SSK,0.01,0.8825,0.069,0.8825,0.069,0.8825,0.069
0,earn,SSK,0.05,0.855,0.0947,0.855,0.0947,0.855,0.0947
0,earn,SSK,0.3,0.8425,0.0652,0.8425,0.0652,0.8425,0.0652
0,earn,SSK,0.7,0.85,0.1026,0.785,0.1026,0.785,0.1026
0,earn,WK,0,0.9225,0.0675,0.9225,0.0675,0.9225,0.0675
0,acq,NGK,0,0.928,0.0776,0.928,0.0776,0.928,0.0776
0,acq,SSK,0.01,0.936,0.072,0.936,0.072,0.936,0.072
0,acq,SSK,0.05,0.928,0.11,0.928,0.11,0.928,0.11
0,acq,SSK,0.3,0.964,0.0418,0.964,0.0418,0.964,0.0418
0,acq,SSK,0.7,0.784,0.2673,0.784,0.2673,0.784,0.2673
0,acq,WK,0,0.856,0.2461,0.856,0.2461,0.856,0.2461
0,crude,NGK,0,0.5467,0.2104,0.5467,0.2104,0.5467,0.2104
0,crude,SSK,0.01,0.6467,0.275,0.6467,0.275,0.6467,0.275
0,crude,SSK,0.05,0.5933,0.2299,0.5933,0.2299,0.5933,0.2299
0,crude,SSK,0.3,0.6933,0.3214,0.6933,0.3214,0.6933,0.3214
0,crude,SSK,0.7,0.4933,0.3844,0.4933,0.3844,0.4933,0.3844
0,crude,WK,0,0.6001,0.2547,0.6001,0.2547,0.6001,0.2547
0,corn,NGK,0,0.22,0.2358,0.22,0.2358,0.22,0.2358
0,corn,SSK,0.01,0.26,0.2059,0.26,0.2059,0.26,0.2059
0,corn,SSK,0.05,0.18,0.2135,0.18,0.2135,0.18,0.2135
0,corn,SSK,0.3,0.21,0.2166,0.21,0.2166,0.21,0.2166
0,corn,SSK,0.7,0.06,0.102,0.06,0.102,0.06,0.102
0,corn,WK,0,0.34,0.3105,0.34,0.3105,0.34,0.3105
