,category,ime ljuske,k,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std
0,earn,NGK,3,0.825,0.1019,0.825,0.1019,0.825,0.1019
0,earn,NGK,4,0.8875,0.0625,0.8875,0.0625,0.8875,0.0625
0,earn,NGK,5,0.8675,0.0662,0.8675,0.0662,0.8675,0.0662
0,earn,NGK,6,0.88,0.0748,0.88,0.0748,0.88,0.0748
0,earn,NGK,7,0.88,0.0934,0.88,0.0934,0.88,0.0934
0,earn,NGK,8,0.9025,0.0817,0.9025,0.0817,0.9025,0.0817
0,earn,NGK,9,0.8825,0.0981,0.8825,0.0981,0.8825,0.0981
0,earn,NGK,10,0.8975,0.0938,0.8975,0.0938,0.8975,0.0938
0,earn,SSK,3,0.7775,0.0675,0.7775,0.0675,0.7775,0.0675
0,earn,SSK,4,0.835,0.07,0.835,0.07,0.835,0.07
0,earn,SSK,5,0.925,0.0758,0.925,0.0758,0.925,0.0758
0,earn,SSK,6,0.915,0.055,0.915,0.055,0.915,0.055
0,earn,SSK,7,0.8825,0.0613,0.8825,0.0613,0.8825,0.0613
